Movie ID,Animation,Drama,Biography,War,Documentary,News,Average Rating,actors
tt12875782,no,yes,no,no,no,no,5,"Rita Feldmeier, Cornelia Gröschel, Stefan Mehren, Frank Streffing, Thelma Buabeng, Frederic Linkemann, Johann Fohl, Gisa Flake, Maximilian Diehle"
tt12877640,no,yes,no,no,no,no,5,"Cristina Donadio, Francesca Cavallin, Will Merrick"
tt1288558,no,no,no,no,no,no,6,"Stephen Butterworth, Rupert Degas, Ellen Sandweiss, Lou Taylor Pucci, Jessica Lucas, Shiloh Fernandez, Elizabeth Blackmore, Jane Levy"
tt1290138,no,yes,no,no,no,no,5,"Carlos Moreno Jr., Paul Ghafoorian, Sophie Meister, Amy Argyle, Monroe Robertson"
tt1294970,no,yes,no,no,no,no,5,"Daniel Raymont, Sutton Foster"
tt12971924,no,no,no,no,no,no,4,"Madeleine Wade, Erin Sanders, Sloane Morgan Siegel, Travis Francis"
tt1298644,no,no,no,no,no,no,5,"Emma Davies, Jocelyn Jee Esien, Ingrid Oliver, Margaret Cabourn-Smith, Yelle, Alex Sharp"
tt13045890,no,yes,no,no,no,no,6,"Tomris Çetinel, Pelin Ekinci Kaya, Ersin Arici"
tt13056008,no,yes,no,no,no,no,5,"Teresa Banham, Andreea Enciu, Joana Borja, Cristina Rodlo, Cosmina Stratan"
tt13069986,no,yes,no,no,no,no,4,"Anton Kottas, Carter Jenkins, Castille Landon, Josephine Langford, Chance Perdomo"
tt13079150,no,no,no,no,no,no,6,Joffrey Verbruggen
tt1308728,no,no,no,no,no,no,5,"Brian Henson, Greg Ballora, Bill Barretta, Jason Cox, Lisa Henson, Sean W. Johnson, Len Levitt, Hemky Madera, Michael McDonald, Joel McHale, Alison Mork, Jeff Olan, Shawn Weber, Dee Austin Robertson, Rick Astley, Steve Mallory, Heather Asch, Artie Esposito, Robert Velo, John Tartaglia, Leslie David Baker, Todd Berger, James Wojtal, Michael Croner, Santigold, Carly Rae Jepsen"
tt13143964,no,no,no,no,no,no,6,"Sacha Baron Cohen, Nancy Bishop, Nick Corirossi, Liviu Pojoni Jr., Nicolas Martin, Chase Fein, Mike Estes, Barbora Jánová, Deliu Ionut, Maria Bakalova, Vlad Milotoi"
tt13234058,no,yes,no,no,no,no,6,"Christian Carion, Andrew John Tait"
tt13236566,no,no,no,no,no,no,5,"Aliza Vellani, Felipe Viana"
tt1323973,no,yes,no,no,no,no,6,Karen Moncrieff
tt13265876,no,no,no,no,no,no,3,"Nels Lennarson, Trevor Gretzky, Alexia Fast"
tt13318052,no,no,no,no,no,no,5,Hayden Baptiste
tt1333125,no,no,no,no,no,no,4,"Griffin Dunne, Morten Abel, Maria Arcé, Brooke Davis, James Hsu, Beth Littleford, Gabriel Pimentel, Jared Robbins, Olle Sarri, Phil Crowley, Myles Kennedy, Adam Cagley, Jimmy Bennett, Eddie Napolillo, Rachel Puchkoff, Jeremy Allen White, Nate Hartley, Mike Meldman, Jared Dudley, Corey Brewer, Theo Madla, Esti Ginzburg, Nicole Polizzi, Tim Urban, Aaron Jennings, Cherina Monteniques Scott"
tt13502736,no,yes,no,no,no,no,6,"Danny Saucedo, Marcus Johansson, Bobby Oduncu"
tt1361318,no,no,no,no,no,no,5,Serena Ryder
tt13634480,yes,no,no,no,no,no,4,Vincent Tong
tt13723064,no,yes,no,no,no,no,5,"Kamil Piotrowski, Michal Meyer, Adam Turczyk, Konrad Zygadlo"
tt1386691,no,yes,no,no,no,no,6,Stephanie Sigman
tt1396523,no,yes,no,no,no,no,5,"Michelle Guo, Kevin Wu, Alex Mabred"
tt13978306,no,yes,no,no,no,no,4,Nora Roberts
tt13989030,no,no,no,no,no,no,5,"Jacque Drew, Jay Simon, Laura Marano, Mena Massoud"
tt14025788,no,yes,yes,no,no,no,6,"Stefano Sardo, Andrea Arcangeli"
tt1403241,no,no,no,no,no,no,5,"Leland Tilden, Miriam McDonald, Robert Homer Mollohan, Daniel Kelly, Lucas Boron"
tt1403862,no,no,no,no,no,no,4,"Sadie Alexandru, Robert Christopher Henderson"
tt1408253,no,no,no,no,no,no,6,"Ice Cube, Travis Barker, Greg Coolidge, Phillip DeVona, Kevin Hart, Sen D.O.G., Dragos Bucur, Angie Stone, Jerald Garner, Larnell Stovall, Kaine, Bubba Sparxxx, Twista, Estelle, Tika Sumpter, John Pleasant, B.o.B., Jay Pharoah, Yelawolf, Benjamin Flores Jr., Kenneth Manos, Andrew Janes, Mustard"
tt1412528,no,yes,no,no,no,no,5,"Andy Blitz, Carol Decker, Rya Meyers"
tt14128670,no,yes,no,no,no,no,6,"Beka Sikharulidze, Dustin Norton"
tt14152756,no,no,no,no,yes,no,8,George Monbiot
tt1418377,no,no,no,no,no,no,5,"Ron Balicki, Nicholas Bell, Joe Pampanella, Aden Young, Virginie Le Brun, Caitlin Stasey, Drew Rhodes, Geno Lenardo, Aaron Farrugia"
tt1418754,no,no,no,no,no,no,6,Guy Kable
tt1426329,no,yes,yes,no,no,no,6,"Soumaya Akaaboune, Sofia Karstens, Simona Williams, Shira Vilensky, Conor Charles"
